token,n.x,n.y,freq,interest
for micromentor,41,28,0.9589823721861419,0.4589823721861419
only one,41,169,0.7948116071067223,0.2948116071067223
shall be,41,33,0.9520093072858598,0.45200930728585975
how to,41,4699,0.12227832811361755,0.37772167188638245
to claim,41,11,0.9834743852972107,0.48347438529721065
are to,41,155,0.8085553131046975,0.3085553131046975
contact the,41,45,0.9356805945971699,0.4356805945971699
remember to,41,35,0.9492483928657741,0.4492483928657741
to quote,41,12,0.9819990999549977,0.4819990999549977
best regards,41,2258,0.22475652044541597,0.27524347955458406
micromentor team,41,5,0.9924200313305371,0.49242003133053713
hello my,30,399,0.5455580865603645,0.04555808656036453
my name,62,4094,0.19471800049830185,0.30528199950169815
name is,62,4179,0.19151598008615575,0.3084840199138442
i'm an,31,143,0.7758503579079367,0.27585035790793666
an investor,81,192,0.8707331852151081,0.3707331852151081
searching for,30,223,0.6823361823361823,0.18233618233618232
who needs,30,21,0.9580000000000001,0.4580000000000001
capital as,30,24,0.9522862823061631,0.4522862823061631
well as,30,1719,0.21792538671519565,0.2820746132848043
in a,80,3162,0.2877308905241027,0.21226910947589728
a lucrative,80,35,0.9733299466598934,0.47332994665989336
on the,30,5532,0.07968724005989021,0.4203127599401098
the off,30,6,0.9876288659793814,0.4876288659793814
chance that,30,14,0.971602434077079,0.471602434077079
a business,43,4442,0.13387106209012264,0.36612893790987733
business idea,30,522,0.4785214785214785,0.021478521478521473
idea or,30,60,0.888682745825603,0.388682745825603
and need,30,330,0.5920889987639061,0.09208899876390608
need a,30,1018,0.3199732798931196,0.18002672010688042
don't hesitate,30,85,0.8492907801418439,0.3492907801418439
hesitate to,30,156,0.7543307086614173,0.25433070866141727
to get,31,6049,0.0756371008409782,0.4243628991590218
get in,30,500,0.4892747701736466,0.010725229826353377
in touch,30,872,0.3545521835677276,0.1454478164322724
touch with,30,341,0.5841463414634146,0.0841463414634146
with me,30,2162,0.18137069291934874,0.3186293070806513
me on,30,1249,0.27719907407407407,0.22280092592592593
on my,31,2393,0.1713893281316728,0.3286106718683272
my private,37,17,0.972028739099435,0.472028739099435
